day_label,date,activity,type,time_1,timezone_1_label,time_2,timezone_2_label
November 24,2025-11-24,Zoom Opens,activity,06:45,"Time (PT)",09:45,"Time (ET)"
November 24,2025-11-24,"Welcome (Regional Coordinator)",activity,07:00,"Time (PT)",10:00,"Time (ET)"
November 24,2025-11-24,Compute Setup: AWS Review (Zhibin Lu),activity,07:30,"Time (PT)",10:30,"Time (ET)"
November 24,2025-11-24,Module 1 Lecture: Data Curation and Data Sharing (Instructor: Emma Griffiths),activity,08:00,"Time (PT)",11:00,"Time (ET)"
November 24,2025-11-24,Break (30mins),break,09:00,"Time (PT)",12:00,"Time (ET)"
November 24,2025-11-24,Module 1 Lab: Data Curation and Data Sharing (Instructor: Emma Griffiths),activity,09:30,"Time (PT)",12:30,"Time (ET)"
November 24,2025-11-24,Lunch (1hr),break,11:00,"Time (PT)",14:00,"Time (ET)"
November 24,2025-11-24,Module 2 Lecture: Emerging Pathogen Detection and Identification (Instructor: Gary van Domselaar),activity,12:00,"Time (PT)",15:00,"Time (ET)"
November 24,2025-11-24,Break (30mins),break,13:00,"Time (PT)",16:00,"Time (ET)"
November 24,2025-11-24,Module 2 Lab: Emerging Pathogen Detection and Identification (Instructor: Gary van Domselaar),activity,13:30,"Time (PT)",16:30,"Time (ET)"
November 24,2025-11-24,Finished,break,15:00,"Time (PT)",18:00,"Time (ET)"
November 25,2025-11-25,Zoom Opens,activity,06:45,"Time (PT)",09:45,"Time (ET)"
November 25,2025-11-25,Module 3 Lecture: Pathogen Typing (Instructor: Idowu Olawoye),activity,07:00,"Time (PT)",10:00,"Time (ET)"
November 25,2025-11-25,Module 3 Lab: Pathogen Typing (Instructor: Idowu Olawoye),activity,08:00,"Time (PT)",11:00,"Time (ET)"
November 25,2025-11-25,Break (30mins),break,09:00,"Time (PT)",12:00,"Time (ET)"
November 25,2025-11-25,(contd) Module 3 Lab: Pathogen Typing (Instructor: Idowu Olawoye),activity,09:30,"Time (PT)",12:30,"Time (ET)"
November 25,2025-11-25,Module 4 Lecture: Outbreak Analysis (Instructor: Finlay Maguire),activity,10:30,"Time (PT)",13:30,"Time (ET)"
November 25,2025-11-25,Lunch (1hr),break,11:30,"Time (PT)",14:30,"Time (ET)"
November 25,2025-11-25,Module 4 Lab: Outbreak Analysis (Instructor: Finlay Maguire),activity,12:30,"Time (PT)",15:30,"Time (ET)"
November 25,2025-11-25,Break (30mins),break,13:30,"Time (PT)",16:30,"Time (ET)"
November 25,2025-11-25,(contd) Module 4 Lab: Outbreak Analysis (Instructor: Finlay Maguire),activity,14:00,"Time (PT)",17:00,"Time (ET)"
November 25,2025-11-25,Finished,break,15:00,"Time (PT)",18:00,"Time (ET)"
November 26,2025-11-26,Zoom Opens,activity,06:45,"Time (PT)",09:45,"Time (ET)"
November 26,2025-11-26,Module 5 Lecture: Phylodynamics (Instructor: Angela McLaughlin),activity,07:00,"Time (PT)",10:00,"Time (ET)"
November 26,2025-11-26,Module 5 Lab: Phylodynamics (Instructor: Angela McLaughlin),activity,08:00,"Time (PT)",11:00,"Time (ET)"
November 26,2025-11-26,Lunch (1hr),break,09:00,"Time (PT)",12:00,"Time (ET)"
November 26,2025-11-26,(contd.) Module 5 Lab: Phylodynamics (Instructor: Angela McLaughlin),activity,10:00,"Time (PT)",13:00,"Time (ET)"
November 26,2025-11-26,Keynote: Jennifer Guthrie,activity,11:00,"Time (PT)",14:00,"Time (ET)"
November 26,2025-11-26,Survey and Closing Remarks,activity,12:00,"Time (PT)",15:00,"Time (ET)"
November 26,2025-11-26,Finished,break,12:30,"Time (PT)",15:30,"Time (ET)"
